id	node1	label	node2	node2;coor	node2;label
	cluster_0_0_2_2_14_112_322	member	QNIHPER9486287	@44.975277777778/-93.234166666667	'University of Minnesota'@en
	cluster_0_0_2_2_9_125_787	member	QNIHPER2405422	@36.0007/-78.9403	'Duke University School of Medicine'@en
	cluster_0_0_2_2_9_125_787	member	QNIHPER7005427	@39.2979/-76.5908	'Johns Hopkins Bloomberg School of Public Health'@en
	cluster_0_0_2_3_24_103_2283	member	QNIHPER2407187	@40.741969/-73.974033	'NYU Langone Medical Center'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER2408264	@42.276944444444/-83.738055555556	'University of Michigan'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER7062199	@42.276944444444/-83.738055555556	'University of Michigan'@en
	cluster_0_0_3_6_21_77_1289	member	QNIHPER2410065	@38.648/-90.305	'Washington University in St. Louis'@en
	cluster_0_0_3_6_21_77_1289	member	QNIHPER7740475	@32.9012/-117.242	'Sanford Burnham Prebys Medical Discovery Institute'@en
	cluster_0_0_2_3_23_60_79	member	QNIHPER2412395	@32.353743/-90.174168	'G.V. (Sonny) Montgomery VA Medical Center'@en
	cluster_0_0_2_3_23_60_1657	member	QNIHPER7892111	@42.336267/-71.072344	'Boston University School of Medicine'@en
	cluster_0_0_3_6_21_77_1289	member	QNIHPER6876730	@36.148649/-86.804972	'Vanderbilt University'@en
	cluster_0_0_2_2_14_112_649	member	QNIHPER2419390	@40.444565/-79.953274	'University of Pittsburgh'@en
	cluster_0_0_2_2_14_112_649	member	QNIHPER2423744	@41.789722222222/-87.599722222222	'University of Chicago'@en
	cluster_0_0_3_6_21_77_1289	member	QNIHPER2426954	@41.826167/-71.40325	'Brown University'@en
	cluster_0_0_3_6_21_77_1289	member	QNIHPER8506597	@38.035555555556/-78.503333333333	'University of Virginia'@en
	cluster_0_0_2_2_9_145_1311	member	QNIHPER2429786	@36.001111111111/-78.938888888889	'Duke University'@en
	cluster_0_0_2_2_9_145_1311	member	QNIHPER9298617	@36.001111111111/-78.938888888889	'Duke University'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER2432612	@41.661666666667/-91.536388888889	'University of Iowa'@en
	cluster_0_0_2_2_14_11_2117	member	QNIHPER8218573	@41.661666666667/-91.536388888889	'University of Iowa'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER2444905	@19.328888888889/-99.187222222222	'National Autonomous University of Mexico'@en
	cluster_0_0_2_2_14_112_322	member	QNIHPER6271605	@40.006666666667/-105.26722222222	'University of Colorado Boulder'@en
	cluster_0_0_3_5_28_70_2087	member	QNIHPER2444915	@40.574836111111/-105.08097777778	'Colorado State University'@en
	cluster_0_0_3_5_28_70_2087	member	QNIHPER7698876	@40.574836111111/-105.08097777778	'Colorado State University'@en
	cluster_0_0_3_6_21_40_1800	member	QNIHPER2445543	@52.453055555556/13.290555555556	'Free University of Berlin'@en
	cluster_0_0_3_6_21_40_1238	member	QNIHPER8837481	@42.335743/-71.105138	'Harvard Medical School'@en
	cluster_0_0_3_6_7_21_1018	member	QNIHPER2447648	@39.00222222222222/-77.10416666666667	'National Institutes of Health Clinical Center'@en
	cluster_0_0_3_6_21_33_2232	member	QNIHPER2453080	@42.336267/-71.072344	'Boston University School of Medicine'@en
	cluster_0_0_3_6_21_77_1289	member	QNIHPER2599788	@38.637/-90.2646	'Washington University School of Medicine'@en
	cluster_0_0_3_6_21_77_1289	member	QNIHPER7539187	@39.056285/-94.61077	'University of Kansas Medical Center'@en
	cluster_0_0_3_6_11_74_307	member	QNIHPER2639418	@42.276944444444/-83.738055555556	'University of Michigan'@en
	cluster_0_0_3_5_28_12_97	member	QNIHPER3056244	@41.871889/-87.64925	'University of Illinois at Chicago'@en
	cluster_0_0_3_5_28_12_97	member	QNIHPER8684371	@42.300167/-87.85925	'Rosalind Franklin University of Medicine and Science'@en
	cluster_0_0_3_5_15_119_1662	member	QNIHPER3072056	@40.110538888889/-88.228411111111	'University of Illinois at Urbana–Champaign'@en
	cluster_0_0_3_5_15_119_1749	member	QNIHPER8623711	@40.110538888889/-88.228411111111	'University of Illinois at Urbana–Champaign'@en
	cluster_0_0_2_2_9_145_2215	member	QNIHPER3077711	@30.61011/-96.353409	'Texas A&M Health Science Center'@en
	cluster_0_0_2_2_9_145_2215	member	QNIHPER6408073	@36.009418/-78.937566	'Durham VA Medical Center'@en
	cluster_0_0_3_6_11_74_185	member	QNIHPER3088372	@39.7743/-86.1764	'Indiana University – Purdue University Indianapolis'@en
	cluster_0_0_3_6_11_74_185	member	QNIHPER6916513	@39.7743/-86.1764	'Indiana University – Purdue University Indianapolis'@en
	cluster_0_0_2_2_14_8_1227	member	QNIHPER3090000	@29.64833/-82.34944	'University of Florida'@en
